DESPESA_AQUISICAO_BENS;TERRENOS_HABITACOES;DSC_AUTARQUIA;INFRAESTRUTURAS_BASICAS;ACESSIBILIDADES;ldk;DESPESA_TOTAL;JUROS_ENCARGOS;DESPESA_COM_PESSOAL;CODIGO_PERIODO;OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL;EDIFICIOS;DESPESA_CORRENTE;CODIGOINE;TRANSFERENCIAS_OUTRAS_DESPESAS_CAPITAL;TRANSFERENCIAS_CORRENTES;INVESTIMENTOS_OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL
2107817.56;86788.84;MACEDO DE CAVALEIROS;348913.87;567882.37;T2_0405;9979831.62;173220.76;2643850.19;T2;557248.52;972419.45;5754215.33;0405;1692363.24;829326.82;2533253.05
1846700.6;31637.64;MACHICO;265542.7;332709.4;T2_3104;5680749.99;133290.93;2037880.85;T2;243878.93;7579.09;4370625.53;3104;428776.7;352753.15;881347.76
298315.51;0;MADALENA;91232.26;793174.66;T2_4602;3167288.88;34139;939343.49;T2;68094.03;125471.35;1795120.59;4602;294195.99;523322.59;1077972.3
8653615.93;1407078.41;MAFRA;470484.78;104371.39;T2_1109;26864091.58;66259.94;7036439.8;T2;2238204.56;3904772.96;18177311.21;1109;561868.27;2420995.54;8124912.1
7107295.72;101229.85;MAIA;632709;1113147.77;T2_1306;31259766.44;951124.76;9334387.03;T2;987338.1;2183575.4;21584819.27;1306;4656947.05;4192011.76;5018000.12
2063428.21;15866.4;MANGUALDE;347827.14;745845.25;T2_1806;7087591.85;119042.87;2691663.68;T2;98291.58;136550.2;5128010.48;1806;615200.8;253875.72;1344380.57
856119.46;35836.02;MANTEIGAS;0;65895.37;T2_0908;2750893.82;20360.93;738828.04;T2;114469.56;444513.81;1740671.94;0908;349507.12;125363.51;660714.76
3291552.42;107766.28;MARCO DE CANAVESES;180870.87;100535.97;T2_1307;11035271.9;308156.12;3668512.38;T2;54729.23;264971.54;8947360.55;1307;1379037.46;1679139.63;708873.89
2996238.6;17924.59;MARINHA GRANDE;264033.15;358319.19;T2_1010;7950306.56;36547.1;2975005.59;T2;177922.87;19000.26;6573018.45;1010;540088.05;565227.16;837200.06
603657.43;5573.14;MARVÃO;33304.43;52267.27;T2_1210;2271740.91;8501.51;1009821.05;T2;261870.14;135982.04;1740369;1210;42374.89;118389.01;488997.02
8123752.3;90216;MATOSINHOS;1060766.18;2306212.38;T2_1308;41402784.7;176304.12;16013718.59;T2;934552.12;3470564.29;29143421.6;1308;4397052.13;4829646.59;7862310.97
1347201.92;33829.51;MEALHADA;460801.64;354669.14;T2_0111;6293531.22;28198.02;2618796.21;T2;190073.24;505600.07;4206489.66;0111;542067.96;212293.51;1544973.6
790320.09;0;MEDA;72224.74;250443.52;T2_0909;4101977.3;27766.21;1569141.89;T2;389422.93;404740.72;2811565.35;0909;173580.04;424337.16;1116831.91
1065543.2;2705.19;MELGAÇO;302439.07;895333.41;T2_1603;6242138.71;98944.79;2238213.47;T2;263491.97;176333.55;3911302.73;1603;690532.79;508601.27;1640303.19
1421917.32;336246.24;MÉRTOLA;278085.09;1060883.58;T2_0209;7547340.45;60251.68;2621013.99;T2;232766.69;187606.45;4851184.56;0209;600567.84;748001.57;2095588.05
595855.18;17499.98;MESÃO FRIO;48926.74;54227.33;T2_1704;3162530.83;54760.01;1084716.82;T2;236953.66;588148.71;1953240.83;1704;263533.58;217908.82;945756.42
1736661.74;21424.09;MIRA;169567.24;313133.14;T2_0608;4937880.85;39141.65;1925641.35;T2;46371.89;212419.96;3894119.13;0608;280845.4;192674.39;762916.32
1107328.71;0;MIRANDA DO CORVO;377808.62;369239.28;T2_0609;4636144.06;24995.49;1477125.12;T2;128632.61;730653.76;2818621.52;0609;211188.27;209172.2;1606334.27
1355332.47;85169;MIRANDA DO DOURO;161820.54;285085.53;T2_0406;4767448.36;40144.25;1753676.48;T2;55394.09;162754.82;3375538.73;0406;641685.65;226385.53;750223.98
2330102.55;1004.65;MIRANDELA;380479.55;625070.66;T2_0407;9546016.13;172963.97;3758451.19;T2;234842.96;77849.8;7290961.33;0407;935807.18;1029443.62;1319247.62
1905503.66;45587.5;MOGADOURO;78561.1;789616.06;T2_0408;6112760.38;54577.94;1543651.98;T2;608204.88;139854.47;3767184.3;0408;683752.07;263450.72;1661824.01
731630.69;103511.4;MOIMENTA DA BEIRA;132907.75;375523.47;T2_1807;5042661.66;101602.68;1455220.21;T2;122981;181343.09;2740225.33;1807;1386169.62;451771.75;916266.71
2876075.47;27123.13;MOITA;690573.71;258639.59;T2_1506;15184651.66;169870.26;7131810.75;T2;973877.25;340261.08;11898362.28;1506;995814.62;1720605.8;2290474.76
1620811.01;328602.44;MONÇÃO;284408.49;852417.56;T2_1604;8623481.14;69696.84;2315789.53;T2;138713.97;672869.82;4755415.89;1604;1591052.97;749118.51;2277012.28
744288.66;92592.62;MONCHIQUE;119435.03;386649.05;T2_0809;4691691.74;42705.73;1758134.78;T2;244889.8;252617.85;2618172.54;0809;977334.85;73043.37;1096184.35
566103.99;774.22;MONDIM DE BASTO;13864.01;222102.7;T2_1705;3671362.82;27351.56;1421391.38;T2;32289.16;964531.72;2159931.69;1705;277869.32;145084.76;1233561.81
696744.89;0;MONFORTE;5948.97;17224.91;T2_1211;2684702.53;34274.85;1355683.6;T2;52342.93;16576.64;2266796.85;1211;325812.23;180093.51;92093.45
2047223.92;133215.27;MONTALEGRE;79347.96;1237989.28;T2_1706;7953953.17;51372.02;2172885.37;T2;282653.9;471598.95;5145037.54;1706;604110.27;873556.23;2204805.36
2164399.4;43640.69;MONTEMOR-O-NOVO;318695.06;242770.79;T2_0706;8566959.74;88759.14;3525552.88;T2;694657.16;310052.52;6527605.48;0706;429538.04;748894.06;1609816.22
