NVESTIMENTOS_OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL;DESPESA_AQUISICAO_BENS;TERRENOS_HABITACOES;DSC_AUTARQUIA;INFRAESTRUTURAS_BASICAS;ACESSIBILIDADES;ldk;DESPESA_TOTAL;JUROS_ENCARGOS;DESPESA_COM_PESSOAL;CODIGO_PERIODO;OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL;EDIFICIOS;DESPESA_CORRENTE;CODIGOINE;TRANSFERENCIAS_OUTRAS_DESPESAS_CAPITAL;TRANSFERENCIAS_CORRENTES
;6849659.08;104583.66;CARTAXO;304489.36;763364.72;A_1406;25820754.17;509547.81;6144150.9;A;2855743.56;1682679.33;16194205.67;1406;3915687.87;2690847.88
;63928827.2;1661849.23;CASCAIS;454900.05;5850076.43;A_1105;143460719.15;1263474.09;32494974.4;A;3129478.88;2323365.76;113427626.62;1105;16613422.18;15740350.93
;960946.66;0;CASTANHEIRA DE PÊRA;4318.93;31704.53;A_1007;4654602.87;380649.08;1371008.87;A;66128.33;41509.21;3054689.19;1007;1456252.68;342084.58
;7773452.81;1105365.5;CASTELO BRANCO;317734.17;2231910.49;A_0502;34618466.64;109795.7;7049080.13;A;1634546.87;4041644.6;18116198.26;0502;7171066.75;3183869.62
;3110088.35;85805.5;CASTELO DE PAIVA;78369.86;275235.85;A_0106;9507470.64;326140.53;3081419.66;A;312591.56;76788.99;7395932.21;0106;1282746.67;878283.67
;1412333.95;21108.19;CASTELO DE VIDE;30116.62;304188.58;A_1205;5915152.59;4460.2;2381946.63;A;207745.74;995397.55;4157881.96;1205;198713.95;359141.18
;4888873.25;39174.36;CASTRO DAIRE;192326.4;2218327.25;A_1803;13998815.07;24262.36;3880874.54;A;557189.13;148695.15;10206070.68;1803;637032.1;1412060.53
;5192742.09;568835.22;CASTRO MARIM;171597.2;1564767.76;A_0804;12145184.17;88128.82;2619290.92;A;446994.8;8546.13;8800499.61;0804;583943.45;900337.78
;2648863.23;7309.09;CASTRO VERDE;176750.67;167488.34;A_0206;10842731.6;43049.18;3641934.06;A;1144080.12;184302;7720736.99;0206;1442064.39;1386890.52
;2263209.21;5000;CELORICO DA BEIRA;919.03;1036394.52;A_0903;9218985.65;278117.37;3210367.22;A;304343.48;204129.23;6272466.93;0903;1395732.46;520773.13
;4025419.8;111191.17;CELORICO DE BASTO;0;284713.82;A_0305;13278221.24;516675.38;4666070.6;A;719673.62;57184.8;10008328.04;0305;2097129.79;800162.26
;2139049.69;1980;CHAMUSCA;199959.7;552406.36;A_1407;8475077.95;82706.11;3100977.85;A;160983.59;55895.11;6128296.7;1407;1375556.49;805563.05
;19505143.96;1772.17;CHAVES;507662.31;3281864.5;A_1703;51861254.42;1813530.37;9150227.19;A;7201965.02;3768865.49;32288867.31;1703;4810257.62;1819965.79
;4151686.15;85803.6;CINFÃES;387959.07;1139916.47;A_1804;14296406.76;18999.37;3831693.82;A;931535.35;510629.81;10127399.57;1804;1113162.89;2125020.23
;19851751.73;889907.36;COIMBRA;126802.06;1189706.48;A_0603;71173340.97;881409.39;26111048.55;A;2121439.87;1482805.63;59937750.13;0603;5424929.44;13093540.46
;4102373.89;0;CONDEIXA-A-NOVA;210094.24;350351.35;A_0604;10963943.92;43984.17;3463391.73;A;915946.7;68995.94;8294068.4;0604;1124487.29;684318.61
;1650109.77;21930.41;CONSTÂNCIA;31361.37;15271.9;A_1408;5207011.27;61468.72;2110977.82;A;67426.23;181306.46;4141682.65;1408;748032.25;319126.34
;3736447.9;105171.44;CORUCHE;20594.31;1914943.28;A_1409;16421681.14;69027.71;5764203.32;A;2084178.07;370950.1;11135215.62;1409;790628.32;1565536.69
;325368.17;32167.34;CORVO;102427.41;8971.24;A_4901;1776445.49;6199.11;493275.5;A;665523.33;1180;836556.53;4901;129619.64;11713.75
;5536328.09;495275.6;COVILHÃ;73109.86;2070541.24;A_0503;24452404.28;557801.92;5923417.16;A;1351949.91;712221.49;14216571.41;0503;5532734.77;2199024.24
;2309470.33;13225.13;CRATO;175273.47;212686.2;A_1206;7005750.76;44286.74;2259843.54;A;397256.48;138840.25;5124600.18;1206;943869.05;510999.57
;1244311.7;475;CUBA;175978.07;173033.39;A_0207;4952975.45;23584.05;2085792.89;A;101461.93;12850.53;3888611.7;0207;600564.83;534923.06
;7612713.76;558364.8;ELVAS;12640.53;1676592.49;A_1207;22829546.87;10372.41;4743448.49;A;1013392.77;499271.15;18828305.32;1207;240979.81;6461770.66
;4572739.14;12712.3;ENTRONCAMENTO;36721.61;90911.26;A_1410;15698662.63;276529.91;5176435.04;A;1930563.76;2083944.14;10481882.16;1410;1061927.4;456178.07
;7904394.85;55902.31;ESPINHO;212051.7;616104.5;A_0107;30889936.54;378915.72;9216737.15;A;3208384.97;4078232.81;19199169.23;0107;3520091.02;1699121.51
;4952950.49;37500;ESPOSENDE;0;633943.27;A_0306;15993458.53;62851.8;4178027.93;A;259605.42;1488315.43;11746607.6;0306;1827486.81;2552777.38
;3347627;477041.87;ESTARREJA;363500.15;1046442.02;A_0108;13376350.15;101900.16;4382188.7;A;500404.02;357218.35;8820699.93;0108;1811043.81;988984.07
;4372344.73;282343.07;ESTREMOZ;111621.46;290611.17;A_0704;11619024.71;233076.85;3765021.92;A;320916.34;22041.5;9786940.71;0704;804550.46;1416497.21
;18597761.74;405431.79;ÉVORA;88183.29;1300334.39;A_0705;52513858.9;2545263.41;18166397.8;A;590279.52;1736598.59;40914908.63;0705;7478122.69;1605485.68
;7151645.5;2963420.15;FAFE;229487.77;1230589.49;A_0307;29295744.92;126691.79;7576950.39;A;1203658.11;1390021.44;18405965.32;0307;3872602.64;3550677.64
;16345803.41;2092375.44;FARO;123365.78;3233192.89;A_0805;58470535.3;2012497.69;13714459.13;A;1657155.35;3771470.32;38684922.86;0805;8908052.66;6612162.63
;8594024.81;574648.2;FELGUEIRAS;1862668.66;885694.28;A_1303;33524462.04;135216.81;10463557.15;A;1213648.19;1132480.69;25435707.16;1303;2419614.86;6242908.39
;2455504.82;3832;FERREIRA DO ALENTEJO;56063.42;350828.09;A_0208;9750279.78;101024.87;4205202.52;A;359842.9;380827.17;7693860.09;0208;905026.11;932127.88
;3293661.67;0;FERREIRA DO ZÊZERE;0;371273.09;A_1411;7935660.92;113624.56;2313721.83;A;337241.93;215129.84;6320972.99;1411;691043.07;599964.93
;10318142.27;244006;FIGUEIRA DA FOZ;151143.16;1332886.38;A_0605;36610738.77;1826181.44;10139156.89;A;1561897.79;1348304.09;25479595.95;0605;6492905.4;3196115.35
;2718393.39;21867.53;FIGUEIRA DE CASTELO RODRIGO;68674.88;2841.3;A_0904;10253185.12;98628.32;2455291.01;A;293814.23;197683.23;6265959.29;0904;3402344.66;993646.57
;1813654.23;1266.27;FIGUEIRÓ DOS VINHOS;1066.03;79474.16;A_1008;6967396.38;221387.59;2803958.77;A;580866.49;54098.37;5208014.16;1008;1042610.9;369013.57
;1464867.71;627.3;FORNOS DE ALGODRES;1599;59921.55;A_0905;5439093.52;760598.85;1730586.76;A;74006.06;7711.05;4045675.38;0905;1249553.18;89622.06
;2694583.41;114613.78;FREIXO DE ESPADA À CINTA;0;142313.98;A_0404;9700455.65;931263.21;2918827.34;A;1000850.67;338703.47;6941301.01;0404;1162672.74;396627.05
;1750838.77;0;FRONTEIRA;5925.29;625275.28;A_1208;5353373.85;28500.61;1654836.16;A;364505.41;46894.98;3953685.61;1208;357087.28;519510.07
;23147047.75;272849.2;FUNCHAL;1275140.9;2888749.99;A_3103;74125736.28;1003764.7;30407727.73;A;1765298.63;1453271.73;57791107.83;3103;8679318;3232567.65
;6386711.68;144202.83;FUNDÃO;304907.94;933141.8;A_0504;25855512.71;2341948.21;5955174.74;A;2405374.13;195391.44;15820651.03;0504;6051843.54;1136816.4
;1827040.18;176671.52;GAVIÃO;119205.27;282514.93;A_1209;6413072.29;16010.59;2144416.51;A;725282.8;149737.75;4577219.37;1209;382440.65;589752.09
;1894268.24;690;GÓIS;225901.72;275796.78;A_0606;6909623.83;35627.99;2941923.35;A;255846.26;36452.65;5658462.88;0606;456473.54;786643.3
;1791784.41;100375.63;GOLEGÃ;29024.85;89570.06;A_1412;5886696.99;31953.02;2102646.64;A;706660.88;122821.92;4270714.19;1412;567529.46;344330.12
;19795448.23;1072730.55;GONDOMAR;34474.46;4056099.75;A_1304;63157167.69;389105.84;22214722.9;A;2545671.52;3099705.82;47779218.25;1304;4569267.34;5379941.28
;2822405.29;153647.84;GOUVEIA;57807.47;2265045.1;A_0906;12331975.87;87588.27;3378319.71;A;1004631.26;263775.54;7174175;0906;1412893.66;885861.73
;5199752.33;83726.66;GRÂNDOLA;94283.37;1323782.24;A_1505;19264120.91;143262.46;8549793.73;A;782806.9;182958.91;15324033.23;1505;1472529.6;1431224.71
;7958066.31;10975.94;GUARDA;107068.48;2997121.12;A_0907;28374878.59;877195.42;9148013.99;A;278810.92;719435.93;19139988.91;0907;5121477.29;1156713.19
;18508094.44;977546.25;GUIMARÃES;0;1902630.75;A_0308;72794510.4;557921.74;23350740.46;A;5074286.6;2906870.64;53537907.42;0308;8395268.74;11121150.78
;2136230.94;0;HORTA;2413795.32;1402000.84;A_4701;11714361.74;68057.87;3439481.85;A;328535.46;7136.64;6424592.81;4701;1138300.67;780822.15
;6335287.71;131717.28;IDANHA-A-NOVA;121582.82;757909.71;A_0505;16486722.99;40807.91;4379398.05;A;1739703.85;582257.53;12013945.09;0505;1139606.71;1258451.42
;7427156.11;472565.28;ÍLHAVO;1872538.2;767524.56;A_0110;22908957.28;412839.7;4989450.1;A;2456975.84;302367.84;13365569.18;0110;3671416.38;536123.27
;12066052.83;0;LAGOA (ALGARVE);335201.15;207953.71;A_0806;25366308.61;285962.63;6476431.17;A;1613583.57;185208.45;21506192.92;0806;1518168.81;2677746.29
;2830976.59;0;LAGOA (SÃO MIGUEL);59438.75;862393.19;A_4201;9558037.67;81444.33;2706829.63;A;575423.26;35922.54;6652838.57;4201;1372021.36;1033588.02
;17811451.78;837033.99;LAGOS;579863.25;444235.83;A_0807;41553897.22;1080178.95;11761726.22;A;567381.9;676942.86;35317224.03;0807;3131215.36;4663867.08
;444311.16;66000;LAJES DAS FLORES;138204.7;1856673.76;A_4801;4991106.64;12990.01;1102795.05;A;611649.1;94493.92;1665843.18;4801;558241.98;105746.96
;935728.17;12000;LAJES DO PICO;286093.62;1566008.85;A_4601;7030978.15;159141.75;1729302.83;A;189328.78;495674.56;3079026.78;4601;1402845.56;254854.03
;5867586.61;9000;LAMEGO;296575.16;1962637.51;A_1805;21608197.79;687147.42;4602505.83;A;241757.13;1491720.87;13344228.56;1805;4262278.56;2186988.7
;14605738.66;16536;LEIRIA;300799.28;2533764.1;A_1009;57243921.93;1274776.5;12320471.2;A;4100576.76;2671021.51;36975448;1009;10645776.28;8774461.64
;132540525.34;11384284.67;LISBOA;4096554.46;10909192.09;A_1106;640000249.03;7260017.5;216512163.43;A;32993013.17;9388069.8;441940695.43;1106;129288439.41;85627989.16
;26582007.28;691747.4;LOULÉ;2943775.53;4749489.73;A_0808;92128838.58;589169.64;25771145.76;A;3279760.41;3828959.78;57787460.46;0808;18847684.63;4845137.78
;32103516.23;454188.82;LOURES;307723.99;476128.55;A_1107;102581277.53;1128635.25;38008150.63;A;709524.42;3182033.59;84066571.6;1107;13385106.56;12826269.49
;6416295.07;444236.96;LOURINHÃ;170130.51;290656.66;A_1108;19373485.65;266092.34;5794903.78;A;386403.8;1458311.25;14438381.81;1108;2185364.66;1961090.62
;4915091.77;61565.19;LOUSÃ;472838.66;637623.9;A_0607;13492400.19;91269;4254744.48;A;996518.31;671073.56;10006886.24;0607;645894.33;745780.99
;6996383.85;50000;LOUSADA;758643.45;391827.98;A_1305;25083523.23;189946.3;9759379.25;A;341342.88;1847747.96;19295469.06;1305;2398491.9;2349759.66
;3173417.85;0;MAÇÃO;105251.68;765743.43;A_1413;8566510.53;30048.45;3163272.06;A;196648.95;244568.26;6977201.33;1413;277096.88;610462.97
;6325027.27;190714.5;MACEDO DE CAVALEIROS;39535.4;1036602.91;A_0405;15913877.63;61315.38;4638503.88;A;338897.36;0;12086137.28;0405;2221990.18;1061290.75
;8050209.77;9500;MACHICO;33872.8;1277619.47;A_3104;16264420.38;610092.29;3463405.26;A;101382.66;0;13314434.08;3104;1527611.37;1190726.76
;1126940.31;0;MADALENA;103423.58;2241998.16;A_4602;7190816.43;22301.44;2267299.53;A;207786.75;222139.67;3809692.5;4602;605775.77;393151.22
;21843671.77;78428;MAFRA;686942.34;5084495.88;A_1109;52140608.92;112750.89;13929910.11;A;2256141.38;188490.04;39957337.91;1109;3888773.37;4071005.14
;15434195.89;237729.23;MAIA;4738597.12;1537521.36;A_1306;59462431.7;1723483.57;18567367.45;A;1031912.79;3310949.89;39706547.35;1306;8899173.96;3981500.44
;4435727.71;15536.46;MANGUALDE;732153.95;1706892.62;A_1806;16133336.28;401184.75;4592825.23;A;568375.13;1106706.35;9989426.22;1806;2014245.55;559688.53
;1380262.55;10247.92;MANTEIGAS;131544.49;122410.86;A_0908;5118927.47;24938.18;1300144.92;A;797133.54;0;3457309.92;0908;600280.74;751964.27
;7498395.78;32296.87;MARCO DE CANAVESES;524155.14;454997.81;A_1307;25264409.78;457410.02;6875721.53;A;564060.3;318478.2;17475330.16;1307;5895091.3;2643802.83
;7784015.37;58158.19;MARINHA GRANDE;599546.06;705187.13;A_1010;19965620.76;21997.88;5403826.48;A;1480038.36;678953.67;15641811.17;1010;801926.18;2431971.44
;1314990.46;808643.91;MARVÃO;177894.45;144897.78;A_1210;5108975.83;7237.32;1736929.25;A;280210.15;18704.86;3442323.47;1210;236301.21;383166.44
;25465524.66;4384128.02;MATOSINHOS;632314.7;1623537.48;A_1308;88661753.73;706241.51;29702027.6;A;2511746.35;3853050.89;68457715.38;1308;7199260.91;12583921.61
;3680237.91;338138.35;MEALHADA;164037.91;1522370.31;A_0111;16171014.93;0;4523811.59;A;433130.04;2761281.69;8808666.74;0111;2143389.89;604617.24
;2838401.08;83597.83;MEDA;199286.87;423133.31;A_0909;7802518.5;275757.73;3041528.33;A;112319.29;143603.48;6487092.04;0909;353485.68;331404.9
;2430238.89;16406.51;MELGAÇO;681715.97;899062.11;A_1603;11174603.95;175949.22;4584277.87;A;202690.96;207386.28;7635704.25;1603;1531637.87;445238.27
;3218786.66;168717.35;MÉRTOLA;112755.78;1890881.73;A_0209;13338302.24;41209.92;4634782.56;A;739355.84;77494.26;9023273.26;0209;1325824.02;1128494.12
;992940.96;26089.58;MESÃO FRIO;8897.37;159252;A_1704;4989859.26;210558.42;1999830.21;A;156972.56;239886.01;3377725.42;1704;1021036.32;174395.83
;3771562.97;0;MIRA;298253.52;242249.89;A_0608;10105386.22;15728.81;3609526.91;A;499762.59;176900.34;7800425.09;0608;1087794.79;403606.4
;2923356.53;75119.67;MIRANDA DO CORVO;165692.11;196740.42;A_0609;8320459.77;29116.73;2919176.04;A;746374.08;5756.4;6467194.2;0609;663582.89;595544.9
