codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;despesatotal
1108;14622712.18;5778602.16;6304206.86;189181.38;2350721.78;16149.9;3616808.84;118022.29;869708.5;778564.96;3499155.01;23521121.68
607;10241864;3720326.14;5392057.17;72841.14;1056639.55;144442.36;821995.01;839448.83;1015214.47;383902.59;733591.82;14180459.08
1305;18671597.21;9681269.73;7025664.96;185959.27;1778703.25;693150;8360392.04;331697.01;1007818.28;611843.98;2368802.66;32045301.18
1413;7435442.6;3034055.88;3520498.48;23293.44;857594.8;0;304349.08;54823.6;539707.59;248967.89;419268.04;9002558.8
405;13031349.43;4655358.64;6921754.48;62128.96;1392107.35;26100.08;3690;191296.26;559057.62;240141.5;1401736.09;15453370.98
3104;6447865.33;3591973.97;1626295.07;722781.84;506814.45;0;2507.87;30198.35;463580.41;296695.78;1612131.98;8852979.72
4602;4411343.46;2189809.08;1654761.24;22266.47;544506.67;0;254388.34;34917.14;963067.37;322724.59;957802.68;6944243.58
1109;37963907.35;14055554.96;19750656.08;336054.03;3821642.28;226419.15;2674447.62;637455.09;3789522.05;1978395.7;3664115.56;50934262.52
1306;40932490.14;18535976.99;16281315.84;283826.13;5831371.18;2790826.75;2870621.85;197744.55;1499453.15;12117035.7;6727109.61;67135281.75
1806;10094043.45;4502462.93;4956192.69;252615.36;382772.47;390764.2;1082393.32;288167.38;895180.03;420528.33;2257885.97;15428962.68
908;6829505.6;1304789.97;4362530.37;435430.6;726754.66;1750;359098.32;90097.16;59009.81;561382.91;546405.52;8447249.32
1307;17686288.44;6742945.54;7634045.99;450285.29;2859011.62;34015.09;1929444.16;891844.73;655967.8;674632.28;3621577.23;25493769.73
1010;15080271.52;5415902.58;7716308.28;13427.3;1934633.36;23381.42;516404.15;322828.75;904221.7;1684117.92;1237646;19768871.46
1210;3418207.31;1639609.8;1422839.3;4635.66;351122.55;310167.19;317570.05;286899.72;169011.66;346248.61;260689.59;5108794.13
1308;69656828.92;29687470.37;27704793.15;736509.99;11528055.41;4576123.59;6119768.93;2271000.03;4896205.97;5765552.66;8549759.03;101835239.1
111;9269902;4590189.38;3737713.57;0;941999.05;35000;3213037.47;155797.38;583816.31;528632.54;1112829.35;14899015.05
909;5605915.8;2936558.21;2064456.76;189467.45;415433.38;98661.59;3690;147729.75;1790187.2;136417.7;293468.99;8076071.03
1603;8394597.13;4618703.52;2960247.07;306714.28;508932.26;23738.29;274467.98;557466.78;1230564.89;927515.5;1311273.98;12719624.55
209;8685646.63;4543413.26;2941632.14;27694.1;1172907.13;122254.49;420816.54;415791.75;899165.13;1423839.88;1526010.13;13493524.55
1704;3539862.74;1997885.32;1189389.13;160623.88;191964.41;23977.2;8706.27;84036.7;38592.27;384128.29;1124426;5203729.47
608;7880225.28;3590468.24;3731229.95;14203.81;544323.28;0;153129.35;511388.93;977124.76;510912.37;329750.53;10362531.22
609;6565478.57;2778655.17;3091038.42;22687.78;673097.2;35305;489817.44;125642.78;245196.94;828319.6;996093.95;9285854.28
406;7345125.97;2889974.02;3580307.49;253237.67;621606.79;113331.2;161590.08;70227.5;369916.57;717822.62;1464280.43;10242294.37
407;15046115.78;5916185.32;6633110.12;689996.93;1806823.41;53856.15;3379418.02;108958.38;648099.18;1602110.57;5227130.64;26065688.72
408;8874380.92;2639641.6;4976548.7;18083.24;1240107.38;9688.64;371740.34;143039.35;805396.92;4226384.48;1058061.98;15488692.63
1807;6610014.92;2933906.89;2781810.31;213108.39;681189.33;417088.59;81609.1;431684.99;2087551.54;2237559.88;998025.74;12863534.76
1506;24567926.6;13888063.94;7364771.92;86916.68;3228174.06;31802.29;394683.78;746311.22;521787.17;1333834.44;3235667.39;30832012.89
1604;9370725.73;4354904.43;3923342.38;109761.56;982717.36;4402.95;319626.42;184968.62;1170923.74;614005.32;3373449.73;15038102.51
809;6271782.05;3495110.46;1696613.62;10882.43;1069175.54;180000;11557.48;728894.95;562993.87;622859.33;1463241.69;9841329.37
1705;5567702.67;2660651.39;2112107.34;218739.05;576204.89;57193;205799.36;91687.02;555898.57;551909.1;1723896.21;8754085.93
1211;4312136.8;2461612.03;1254697.9;50940.26;544886.61;16000;49033.64;14342.33;198750.42;103663.39;1083154.23;5777080.81
1706;10431324.18;4250379.19;4674927.67;14101.84;1491915.48;486315.72;1087464.93;898922.88;2836737.56;574385.84;1480884.63;17796035.74
706;12853179.25;6467177.57;4344756.21;37610.89;2003634.58;54449.68;1222759.04;4596.77;83025.48;572641.74;2160929.91;16951581.87
610;11219836.37;3998527.01;5460614.43;764504.89;996190.04;12675;657785.21;1198171.52;1730028.9;1856948.89;558460.69;17233906.58
1507;21452318.44;12911328.17;6632909.5;81676.47;1826404.3;10102.06;968192.48;148464.21;373898.4;469733.04;1563552.77;24986261.4
707;4923178.34;2475749.56;1709775.9;13819.64;723833.24;8019.46;122777.04;80547.82;76464.97;2227858.05;404409.97;7843255.65
1808;5558508.59;2462380.29;1757463.31;29175.39;1309489.6;628501.87;91811.27;64049.94;926329.35;397934.79;974663.41;8641799.22
210;10850692.78;5982275.46;3480024.15;174121.54;1214271.63;65000;139018.98;269109.99;447800;1889647.26;2135274.25;15796543.26
708;4744526.42;2882246.47;1393594.94;198303.3;270381.71;0;0;2532.07;2976.93;85363.41;369273.95;5204672.78
1707;4971128.99;2249349.2;2101125.56;200926.96;419727.27;37222.16;24507.51;18024.8;103539.97;92048.45;1378964.35;6625436.23
112;4113482.89;1750778.47;1760810.99;6923.29;594970.14;250886.92;587242.75;227641.07;597096.84;510031.13;285467.04;6571848.64
1011;10885487.79;3062886.11;4792090.45;1327842.8;1702668.43;9911.47;5581110.36;85063.14;267024.53;3783010.69;3130482.85;23742090.83
1809;7662718.59;3030879.92;3074517.41;462170.75;1095150.51;158847.7;274191.21;1226517.73;442598.9;141183.03;10084720.25;19990777.41
1212;6984431.93;3888656.29;2458529.96;62404.47;574841.21;0;1231815.31;5947.36;426118.14;1067604.78;625295.32;10341212.84
4202;3461849.42;1391708.83;787624.19;594742.69;687773.71;63917.92;50511.34;12774.68;167956.5;246322.58;1390072.06;5393404.5
1012;10680355.41;4805189.37;4331175.71;147525.05;1396465.28;465511.63;164591.93;269317.62;317000.78;303432.9;1917324.53;14117534.8
211;19867400.1;8063071.11;8023568.56;63846.27;3716914.16;184939.25;418930.85;1343460.35;1224438.85;2014079.21;2402969.35;27456217.96
1116;52192931.05;23642978.69;23184552.06;575262.74;4790137.56;161345;733636.52;253468.87;1012773.33;916651.32;7843336.44;63114142.53
1110;79041098.17;34650282.3;33128239.65;1907932.74;9354643.48;2291661.52;8510280.79;1843254.64;3638501.42;4454207.05;6532157.88;106311161.5
506;6316329.51;2126281.98;2983701;33132.58;1173213.95;103730.96;12193.63;66633.07;2360762.97;281035.89;523221.76;9663907.79
810;18172397.55;8380163.5;5457679.18;352836.91;3981717.96;105423.95;293541.26;7178.58;60386.41;719590.68;2663810.81;22022329.24
113;22249284.21;10428841.62;8771742.14;272128.86;2776571.59;795515.33;1408492.98;508086.42;2472476.24;2713870.78;6599708.91;36747434.87
1810;5254917.25;2693217.33;2162589.58;69566.82;329543.52;60495.1;3310436.15;1225116.75;1281093.93;387816.77;1959574.28;13479450.23
114;10030294.45;4372660.83;4362218.52;111957.24;1183457.86;55177.8;5853052.12;47354.66;1084132.28;468701.8;1701151.02;19239864.13
611;11123299.48;3535606.64;5432485.94;24370.46;2130836.44;25432.91;122276.68;358130.86;441580.04;381360.29;1864273.95;14316354.21
1421;19041096.28;6659614.2;9951802.5;304070.39;2125609.19;181583.97;1422512.21;144008.17;906607.87;1095590.78;5417781.49;28209180.77
212;6719227.65;3817004.01;1974812.3;71636.12;855775.22;14855.63;68818.23;224117.15;440757.54;345137.98;1667381.57;9480295.75
115;19948024.17;6904332.09;8911100.77;91944.44;4040646.87;1187062.24;1475556.65;80961.37;3097995.38;710675.29;2824943.82;29325218.92
1309;18268396.81;7333741.87;7977264.69;836765.19;2120625.06;44228.75;2797781.12;3882.71;622568.37;338316.59;2161626.34;24236800.69
1508;35049354.1;17265659.84;15066469.18;365636.47;2351588.61;131659.31;620952.15;247473.91;798272.02;858917.02;2481171.95;40187800.46
612;7720959.63;2380642.57;3707249.35;485.44;1632582.27;112472.6;149039.5;116108.57;1089606.99;1280825.57;281608.18;10750621.04
1310;30659989.22;13616174.64;12152058.37;772716.75;4119039.46;89293.23;1922781.79;263442.06;3441446.78;541615.81;8996137.5;45914706.39
1605;6896025.19;2891646.81;2919010.35;397268.16;688099.87;0;1710846.29;352120.12;1415541.66;461718.5;1758455.68;12594707.44
1013;3856547.89;1442870.74;1778849.96;17735.41;617091.78;19411;34153.72;10486.44;79515.1;243654.96;360181.72;4603950.83
