IMI;FINANCIAMENTO_UNIAO_EUROPEIA;TAXAS_MULTAS_OUTROS_IMPOSTOS;DSC_AUTARQUIA;IMPOSTOS_MUNICIPAIS;IUC;TRANSFERENCIAS_ORCAMENTO_ESTADO;ldk;IMT;CODIGO_PERIODO;CODIGOINE;VENDA_BENS_SERVICOS;DERRAMA_IRC;RECEITAS_TOTAIS;OUTRAS_RECEITAS
692985.81;1329725.79;652887.58;VILA NOVA DE CERVEIRA;1701738.14;199079.74;4369923;T3_1610;114116.19;T3;1610;1048398.33;42668.82;9303140.9;853355.64
8450545.65;1201091.53;1424095.11;VILA NOVA DE FAMALICÃO;14243836.79;2452241.63;14037309;T3_0312;1916954.4;T3;0312;11695836.98;0;46340078.75;5162004.45
421918.49;3118915.1;33381.9;VILA NOVA DE FOZ CÔA;785911.39;112808.47;4256217;T3_0914;217802.53;T3;0914;1062655.82;0;9925205.36;701506.05
26502943.92;4994847.49;1491862.32;VILA NOVA DE GAIA;41936054.23;5700918.86;19903764;T3_1317;4821156.21;T3;1317;7514521.31;3419172.92;103598020.13;29248833.1
358237.8;788296.97;182568.54;VILA NOVA DE PAIVA;705245.5;90092.71;2797455;T3_1822;74346.45;T3;1822;290759.67;0;5492138.89;910381.75
579416.54;67681.56;98640.76;VILA NOVA DE POIARES;885852.13;123237.44;2700198;T3_0617;70164.31;T3;0617;397624.76;14393.08;4634435.43;583078.98
661925.08;2349742.18;1017992.69;VILA POUCA DE AGUIAR;2341848.83;244188.32;5566410;T3_1713;141451.84;T3;1713;1862467.92;276290.9;13102579.84;982110.91
3407727.3;2444108.42;304951.53;VILA REAL;5881470.63;988057.42;7958691;T3_1714;486540.22;T3;1714;2121597.29;694194.16;19447029.64;1041162.3
4160816.42;396759.81;799897.86;VILA REAL DE SANTO ANTÓNIO;6354066.41;369490.43;2131056;T3_0816;945689.51;T3;0816;2972256.31;78172.19;12769308.75;915170.22
268598.42;136236.02;21425.84;VILA VELHA DE RÓDÃO;718580.93;42155.99;3216843;T3_0511;119119.1;T3;0511;648863.22;267281.58;5436152.56;715629.39
1904726.09;871724;431874.61;VILA VERDE;3925149.47;847971.34;9040806;T3_0313;470211.35;T3;0313;2675055.84;270366.08;31881220.34;15368485.03
452325.44;32734.68;157730.52;VILA VIÇOSA;993501.49;138344.31;2859732;T3_0714;163247.5;T3;0714;765592.61;81853.72;5305076.51;653515.73
284051.77;1433671.49;24573.88;VIMIOSO;406918.61;65984.25;4364667;T3_0411;32308.71;T3;0411;293924.74;0;7413291;914109.16
370984.56;1179436.04;61048.17;VINHAIS;596867.15;121259.7;6423786;T3_0412;38536.55;T3;0412;1062558.71;5038.17;9799848.19;537200.29
