codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;despesatotal
1009;8735445.39;2790015.38;3612332.09;119861.65;2213236.27;0;96632.68;4600.45;194189.5;55536.05;2026909.01;11113313.08
1106;77501947.77;52578885.55;15799216.43;822263.61;8301582.18;845502.43;648199.74;614478.78;751966.84;4055376.17;6876722.98;91294194.71
808;15928857.63;6096217.58;7757455;723711.14;1351473.91;110576.6;1182529.88;2641358.57;1676347.35;305788.24;2535406.62;24380864.89
1107;17868695.22;8851264.72;5536457.39;361061.73;3119911.38;71710.04;598.6;0;232566.39;171941.53;2928365.25;21273877.03
1108;2946628.53;1325432.75;1381057.73;33858.01;206280.04;645.75;10360.86;35912.49;225751.13;48650.83;131136.27;3399085.86
607;2325449.82;1050928.8;1151413.51;28584.68;94522.83;5006.87;23623.37;65519.99;184693.33;287463.84;137972.85;3029730.07
1305;4326589.2;2385691.36;1589242.83;48684.19;302970.82;18750;73233.56;94992.08;272608.96;65074.92;496530.77;5347779.49
1413;1630070.96;701362.6;771904.47;16700.42;140103.47;0;35149.79;10023.72;154061.21;68738.02;63965.31;1962009.01
405;2826426.4;1092759.55;1306999.09;47688.84;378978.92;13128.89;20530.08;104503.23;890083.34;109912.53;558507.14;4523091.61
3104;1444045.88;837325.16;398144.77;111730.48;96845.47;0;8136.79;135205.48;301526.07;394320.54;360711.17;2643945.93
4602;782446.53;455166.18;218690.99;8394.36;100195;0;108418.5;15450.34;59490.69;43136.26;195364.07;1204306.39
1109;7950483.4;3342764.98;3551341.33;18169.53;1038207.56;0;728763.58;53360.45;249670.03;1903910.58;239730.59;11125918.63
1306;8490165.53;4555636.33;2670232.03;24473.64;1239823.53;37500;147638.8;3263.21;122312.87;33118.6;332344.79;9166343.8
1806;1982044.35;1060872.82;836655.62;18269.06;66246.85;6068.62;52884.72;355852.8;568166.79;83364.03;202407.22;3250788.53
908;700210.7;317495.01;280072.01;4929.57;97714.11;10478.99;0;1691.1;86810.76;332679.16;124886.82;1256757.53
1307;4159579.89;1603180.83;1772786.65;78057;705555.41;5693.66;152959.25;96295.91;30560.53;721797.98;750992.31;5917879.53
1010;2219004.45;1148923.76;763763.9;8323.22;297993.57;1319.35;417346.43;27081.07;1827.6;151735.74;227310.47;3045625.11
1210;608315.17;402348.88;167898.4;3467.66;34600.23;5098.52;0;46033.14;49023.27;974.59;79708.28;789152.97
1308;15127807.73;6976228.83;6024690.06;114713.42;2012175.42;1155768.33;697188.13;280.74;267809.04;146462.15;1830267.65;19225583.77
111;1833466.37;1085028.2;624252.9;1019.87;123165.4;45038.67;135793.92;13018.77;180769.38;12842.48;121486.5;2342416.09
909;1347003.23;598929.58;545317.05;58094.46;144662.14;1500;3575.61;2748.16;173793.03;41497.1;51618.23;1621735.36
1603;2289929.78;1139232.87;786324.05;96728.94;267643.92;508.58;1930791.14;162452.05;301568.7;110452.82;231377.73;5027080.8
209;1942670.94;1058751.02;576448.86;21727.04;285744.02;1409.65;7873.07;106951.33;105212.82;107726.89;283189.29;2555033.99
1704;718968.82;430485.65;185518.03;56962.38;46002.76;0;294342.48;2764.28;21051.57;15353.48;128371.17;1180851.8
608;1623389.37;807201.2;747477.63;25342.25;43368.29;6983.17;97730.22;0;3062.7;24909.9;279205.58;2035280.94
609;1370595.16;657692.63;656103.64;15779.39;41019.5;51799.28;12457.06;28137.35;18720.93;187342.75;203947.39;1872999.92
406;1585659.88;754968.74;696210.22;69254.14;65226.78;0;10812.76;19832.6;330087.09;150531.59;177916.02;2274839.94
407;5878722.02;1510222.23;2719350.35;309696.34;1339453.1;20163.07;93199.34;438755;993609.83;250000.84;633500.5;8307950.6
408;1554701.53;579689.55;836922.3;20685.22;117404.46;18860;0;9344.07;87538.93;38032.62;402278.07;2110755.22
1807;1332083.58;657452.81;488576.92;21376.18;164677.67;21036.67;818732.41;22328.13;60102.89;61728.92;396634.56;2712647.16
1506;5194502.42;3166452.2;1583518.24;23870.03;420661.95;0;17280.56;36602.53;14474.98;287552.57;394340.46;5944753.52
1604;2087241.54;1051122.75;729666;38684.19;267768.6;0;105921.93;114602.84;138904.77;79764.49;810916.76;3337352.33
809;1590317.43;832564.77;481542.64;21576.25;254633.77;25000;56566.83;39713.35;277849.15;56703.65;419223.51;2465373.92
1705;1148300.84;637614.77;317270.37;107974.73;85440.97;0;0;1217.09;1363.1;75059.49;1833325.14;3059265.66
1211;1010348.23;614864.92;298304.93;19500.2;77678.18;796.05;1381.29;0;18362.67;6996.93;103672.14;1141557.31
1706;1922198.91;971464.85;705549.86;13030.19;232154.01;152197.61;102103.8;59491;43845.55;15921.9;395281.69;2691040.46
