codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;receitastotais;transferenciasorcamentoestado;financiamentouniaoeuropeia;impostosmunicipais;imi;imt;iuc;derramairc;taxasmultasoutrosimpostos;vendabensservicos;outrasreceitas;despesatotal
4901;860280.76;581778.03;239746.08;21683.37;17073.28;0;34046;19815.75;1795485.68;347229;128178.32;3225307.66;1525154;1584304.27;16575.64;6355.13;5166.76;3132.56;0;1921.19;20261.23;79012.52;3185035.51
503;17215204.55;6814748.69;6347366.55;1440475.83;2612613.48;377366.71;2945917.16;482027.19;2960983.62;3613069.03;3905068.25;31074724.09;12679287;2944021.28;8811791.87;4489703.49;1237007.38;745472.31;608796.8;1730811.89;3555380.15;3084243.79;31499636.51
1206;5139995.57;2122345.89;2296915.98;75734.44;644999.26;3674.16;401896.22;116245.02;723910.72;1074131.2;630637.93;8113343.75;4828035;1041699.18;705307.8;167259.36;466605.28;44105.88;1782.09;25555.19;759443.92;778857.85;8090490.82
207;4209839.71;2197367.22;1579880.01;56032.32;376560.16;34613.3;85435.78;375721.71;315464.42;288571.07;535356.93;6055556.55;3169509;647132.03;497661.61;209886.84;112555.58;54776.45;11139.19;109303.55;916650.33;824603.58;5845002.92
1207;12747448.17;4534499.45;6579689.51;25172.3;1608086.91;201445.65;932664.57;15650.96;327323;1586155.85;225182.17;18781164.31;8227951;2987045.46;3133810.9;1774143.54;690867.67;323739.95;145003.13;200056.61;2622984.86;1809372.09;16035870.37
1410;9390874.51;4839585.86;3931742.61;301346.33;318199.71;30411.84;293243.14;627363.44;739335.65;1867906.54;875857.3;13680149.03;3350846;2556928.48;4011890.29;2295777.31;667788.87;342281.88;163377.61;542664.62;2517699.01;1242785.25;13824992.42
107;19856945.28;10098659.2;6677602.3;233614.58;2847069.2;21019.42;574457.54;200135;101642.81;1272185.86;3223373.25;25250542.51;5599993;107627.18;8465131.61;3638011.81;657154.42;474716.87;300656.52;3394591.99;4998367.25;6079423.47;25249759.16
306;12340420.74;4055530.09;5366562.52;239910.62;2678417.51;40144.94;2046408.02;79735.74;647915.66;1368652.87;3579764.14;20301626.06;6531702;1381188.63;5959814.96;3249967.12;1236123.75;623778.76;0;849945.33;4375515.64;2053404.83;20103042.11
108;10286081.11;4712412.68;4324224.95;185715.46;1063728.02;523338.31;1663269.83;786121.46;707731.12;1075002.77;2345741.97;17448311.04;7125779;42697.71;4608008;1839861.37;535608.2;431625.16;896042.74;904870.53;2279450.92;3392375.41;17387286.57
704;9762170.88;4941361.47;3390985.22;176330.47;1253493.72;129534.55;1873210.87;72702.65;1292924.75;359078.71;581544.32;14506017.42;7093237;3268238.64;1750398.8;771014.38;418850.55;200201.29;0;360332.58;1964964.35;429178.63;14071166.73
705;31683908.83;19050623.11;8984675.12;1670912.09;1977698.51;78099.61;1033663.66;20327.62;1158196.1;494087.95;7097958.4;41796827.62;13905608;1633932.73;11493622.92;3967572.36;2308923.28;967747.36;1301239.54;2948140.38;8176428.7;6587235.27;41566242.17
307;19102167.35;8180411.7;7320106.73;137008.63;3464640.29;138562.1;1150125.17;667733.82;4314174.01;340125.46;6450415.13;31993940.75;12622158;3086093.79;6628493.83;3455313.65;1058266.9;717519.11;509509.34;887884.83;4194513.06;5462682.07;32163303.04
805;30380399.89;14912816.15;11474381.22;1241180.43;2752022.09;491021.36;1027199.05;53562.56;558849.31;1217883.72;5671926.83;41000219.29;6795423.02;159190.97;18437549.15;9934120.99;3931682.97;1517438.13;1544084.8;1510222.26;8450806.9;7157249.25;39400842.72
1303;23998310.01;11395971.09;8983918.88;265457.04;3352963;95360.72;5023576.95;883308.75;1787522.4;1085081.72;1452047.68;35969675.07;11081179;6257116.95;7169884.26;3584949.26;1315737.93;851102.43;591132.49;826962.15;5964749.99;5496744.87;34325208.23
208;8207034.7;4764894.03;2413333.43;146279.19;882528.05;0;194772.67;29102.4;79683.54;512393.83;1740363.23;10699134.69;6501591;695831.86;1178085.54;370941.73;253368.11;104149.01;161476.6;288150.09;1344304.99;979321.3;10763350.37
1411;5555150.85;2478551.75;2361483.28;223381.35;491734.47;258316;3848068.69;91483.32;566723.78;674767.08;573559.58;11563109.87;4740502.83;2838677.2;1134074.52;553641.6;219632.5;128359.81;0;232440.61;1770079.5;1079775.82;11568069.3
605;48488917.7;12307914.04;16409070.52;2271148.36;17500784.78;0;3304493.09;222782.08;3691060.55;1474659.34;6816717.08;65915992.04;9814657;1175059.81;16184135.07;7779220.95;2122288.63;1094572.63;3873461.59;1314591.27;4808486.73;33933653.43;63998629.84
904;6228381.7;2123080.77;2344854.41;242756.17;1517690.35;17184.91;2783259.39;64472.12;162139.45;307054.36;1309635.5;9208154.56;6739401;1111930.79;553666.63;174187.02;194640.25;74499.08;58414.91;51925.37;687380.26;115775.88;10872127.43
